Date,Executive Orders 
28-Feb-20,overnor Brown convened a Coronavirus Response Team tasked with coordinating state and local agencies and health authorities. The group will meet regularly and make recommendations to the Governor.
2-Mar-20,Governor Kate Brown wrote a letter to Vice President Pence requesting the release of additional PPE supplies from the federal government’s strategic national stockpile.
5-Mar-20,"he State of Oregon reached an agreement with health insurance companies to waive cost-sharing for patients who testing for COVID-19. The agreement means that people with insurance and group health plans won’t face co-payments, co-insurance, or deductibles for COVID-19 testing at in-network healthcare providers or emergency rooms. It will also cover immunization for covered people, when that becomes available."
8-Mar-20,"Governor Brown issued a state of emergency on Sunday, 9 March, 2020 as the state’s identified cases of novel coronavirus COVID-19 rise to 14."
10-Mar-20,Governor Brown issued a policy to limit transmission of COVID-19 in long-term care facilities.
12-Mar-20,"Governor Brown announced statewide school closures for K-12 schools in Oregon from March 16th through March 31st.  Oregon is sending an Incident Management Team to Seattle-King Co., WA to support planners and public health officials through the Emergency Management Assistance Compact. "
16-Mar-20,The Governor announced new statewide actions for the next four weeks regarding social distancing to reduce the spread of COVID-19.
17-Mar-20,"The Governor signed an executive order which extended statewide school closures until April 28. <br>  The Governor announced an extension of the statewide school closure to a total of six weeks, until April 28, and issued further guidance for Oregon’s public schools."
18-Mar-20,"The Governor directed all Oregon hospitals, outpatient clinics, and health care providers, including veterinarians and dentists, to cease all non-emergency medical procedures to conserve personal protective equipment."
22-Mar-20,"The Governor issued Executive Order 20-11, placing a 90-day moratorium on residential evictions for nonpayment."
23-Mar-20,"The Governor issued Executive Order 20-12, directing Oregonians to stay at home to the maximum extent possible, outlining new guidance for child care facilities, and expanding the list of businesses that will be temporarily closed."
25-Mar-20,"The Oregon Department of Consumer and Business Services issued a temporary emergency order requiring insurance companies to extend grace periods for premium payments, postpone policy cancellations and nonrenewals, and extend deadlines for reporting claims. <br> The Governor and the Oregon Department of Revenue announced an extension through July 15 for Oregon tax filing and payment deadlines for personal income taxes and some other taxes, such as corporate income and excise taxpayers. <br> The Governor called on the federal government to open a special enrollment period for Oregonians to buy health insurance and apply for federal subsidies through HealthCare.gov. Specifically, the Governor requested that the enrollment period open immediately and last at least 30 days. <br> The Centers for Medicare & Medicaid Services (CMS) approved Oregon’s request for a Section 1135 Medicaid waiver. The approved waiver enables Oregon to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan."
26-Mar-20,"The Governor’s office announced the Creation of the “Small Business Stabilization Fund” within the Oregon Community Foundation with an initial contribution of $700,000 from the Oregon Growth Fund."
27-Mar-20,"The Governor issued guidance on Executive Order 20-12, which directed Oregonians to “Stay Home, Save Lives.” Specifically, the guidance clarified:
Social service agencies providing for basic food, water, shelter, and hygiene needs of any person who is unable to meet those same needs without the service providers should remain open; and,
People experiencing unsheltered homelessness are not subject to enforcement under the executive order simply since they are in public and unable to stay at home."
28-Mar-20,The Governor launched a statewide public awareness campaign to inform Oregonians about the urgent importance of staying home to save lives.
29-Mar-20,"The Governor announced the state’s major disaster declaration was approved by the President, with funding that would provide for:
Management, control and reduction of immediate threats to public health and safety;
Emergency operation and coordination costs;
Medical sheltering; and,
Purchase and distribution of food, water, medicine and other consumable supplies, including personal protective equipment."
31-Mar-20,"The Governor announced a shipment of personal protective equipment was received from the Federal Emergency Management Agency (FEMA). The state will immediately begin processing and shipping those supplies to all 36 counties and 9 tribes, which should expect to receive shipments by or before April 6. <br> he Division of Financial Regulations highlighted three coronavirus scams for Oregonians to avoid:
Scams claiming to have top-secret vaccine or miracle cure, or claiming to offer government assistance or economic relief;
Scams requiring downloads to view coronavirus maps; and,
Scams using the market downturn to convince consumers to invest in a product with a guaranteed or very high return, including investments tied to COVID-19, such as medical supplies, vaccines, and other treatments."
1-Apr-20,"The Governor issued Executive Order 20-13, placing a 90-day moratorium on commercial evictions for nonpayment due to business closures, specifically prohibiting landlords from charging tenants late fees for nonpayment of rent during the moratorium."
2-Apr-20,The Governor launched the Coronavirus Small Business Resource Navigator to connect small businesses to financial support and the information they need to ensure business sustainability. 
3-Apr-20,"The Governor launched the Coronavirus Small Business Resource Navigator, which will help connect small businesses to financial support and information they need to stay in business."
4-Apr-20,The Governor offered New York 140 ventilators to assist with the state’s medical surge.
7-Apr-20,"The Governor convened the Oregon COVID-19 Medical Advisory Panel to begin developing recommendations to the Governor to address the needs of the health care system, provide advice and input, and serve as a resource to the Oregon Health Authority."
7-Apr-20,"The Governor issued an executive order aligning the effective date for the prohibition on dine-in food and drink consumption with that of their Stay Home, Save Lives order."
8-Apr-20,The Governor extended school closures for the K-12 and post-secondary education systems through the end of the current academic term and school year.
8-Apr-20,"The Oregon Department of Education released Graduation Pathways 2020, guidance detailing how Oregon’s high school seniors can earn their final set of high school credits and graduate on-time."
9-Apr-20,The Oregon Department of Revenue reminded businesses and individuals who pay their corporate or personal income tax quarterly that estimated payments for the first quarter 2020 are due April 15.
9-Apr-20,The Governor announced the state has distributed its first Abbott ID NOW rapid testing instruments to three rural Oregon hospitals.
10-Apr-20,"The Governor received 78 pallets of personal protective equipment (PPE) from the U.S. Agency for International Development (USAID), replenishing the state’s stockpiles of critically needed N95 masks and other PPE."
11-Apr-20,The Department of Human Services and Oregon Health Authority launched a multi-agency support team to assess the needs of long-term care facilities experiencing increased cases and help them access resource to prevent further transmission among residents and staff.
13-Apr-20,"The Governor announced a regional partnership with California Governor Gavin Newsom and Washington Governor Jay Inslee to create a shared vision for reopening their economies and harmonize lifting social distancing measures. The Governors have centered on four overarching goals:
Protect vulnerable populations at risk for severe disease if infected;
Ensure an ability to care for those who may become sick with COVID-19 and other conditions;
Mitigate the non-direct COVID-19 health impacts, particularly in disadvantaged communities; and,
Protect the public by ensuring any successful lifting of interventions includes the development of a system of testing, tracking and isolating."
13-Apr-20,"The Governor announced that the Oregon Army National Guard facilitated transportation and distribution of medical personal protective equipment to all 36 counties, nine tribal nations, and two tribal health agencies in order to enhance needed supply inventories."
13-Apr-20,"The Governor announced the state is ramping up its enforcement activity. Specifically, Oregon OSHA will begin systematically conducting spot checks to verify that employers are complying with the requirements – including closures to the public."
13-Apr-20,The Employment Department announced that a glitch in the unemployment insurance system was telling people to start their claim process over from the beginning. They said that they were able to address many of these errors automatically and will have more information on their website as it becomes available.
14-Apr-20,"The Governor introduced their framework for Reopening Oregon: a plan to restart public life and business while maintaining healthy communities. Once certain prerequisites are met, Oregon can begin to reopen by:
Ramping up COVID-19 testing capacity in every region of Oregon;
Developing robust contact tracing systems to track and contain COVID-19 cases; and,
Establishing a quarantine and isolation program for new cases."
16-Apr-20,The Governor issued an executive order directing state and local governments to take necessary measures to facilitate public participation in decision-making – stressing the importance of civic engagement on the path to recovery.
17-Apr-20,The Governor issued an executive order preventing creditors or debt collectors from garnishing federal CARES Act recovery rebate payments.
20-Apr-20,"The Governor announced that the Oregon National Guard will distribute approximately 395,000 pieces of personal protective equipment to all long-term care facilities in the state."
21-Apr-20,The Oregon Department of Revenue issued a directive that expands relief and provides additional relief to certain affected taxpayers and extended the tax filing and payment deadline to July 15th.
23-Apr-20,"The Governor announced a framework to resume non-urgent procedures on May 1. Medical providers will need to demonstrate they can:
Minimize the risk of coronavirus transmission to patients and healthcare workers;
Maintain adequate hospital capacity in the event of a surge in COVID-19 cases; and,
Support the health care workforce in safely resuming activities."
23-Apr-20,"The Governor launched the next phase of the state’s public awareness campaign to educate Oregonians about COVID-19. The campaign, Safe + Strong, focuses on community-centered outreach in 12 languages to connect people who are most at-risk of experiencing health disparities."